Group,Year,Month,Day,Time,End Year,End Month,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
シナリオ,1999,10,,,,,,集団自殺事件,,,,,,
シナリオ,2007,,,,now,,,深山市の都市伝説,,,,,,
シナリオ,2018,,,,now,,,謎の音の噂,,,,,,
シャーロック・ホームズ,1992,1,,,,,,誕生,,,,,,
シャーロック・ホームズ,1998,4,,,2004,3,,小学校,,,,,,
シャーロック・ホームズ,2004,4,,,2007,3,,中学校,,,,,,
シャーロック・ホームズ,2007,4,,,2010,3,,高校,,,,,,
シャーロック・ホームズ,2018,10,,,,,,ギフテッド・アイロニー,,,,,,
シャーロック・ホームズ,2019,9,,,,,,探偵はBARにいる,,,,,,
シャーロック・ホームズ,2019,10,,,,,,CALLING,,,,,,
泉川京,1991,5,21,,,,,誕生,,,,,,
泉川京,1998,4,,,2004,3,,小学校,,,,,,
泉川京,2004,4,,,2007,3,,中学校,,,,,,
泉川京,2007,4,,,2010,3,,高校の数学教諭,,,,,,
泉川京,2019,10,,,,,,CALLING,,,,,,
瀬口,1999,10,,,,,,未晴の蘇生により誕生,,,,,,
瀬口,2005,4,,,2011,3,,深山小学校,,,,,,
瀬口,2011,4,,,2014,3,,深山中学校,,,,,,
瀬口,2014,3,,,now,,,深山高校,,,,,,
瀬口,2019,10,,,,,,CALLING,,,,,,
不来方未晴,1986,6,13,,,,,誕生,,,,,,
不来方未晴,1993,4,,,1999,3,,深山小学校,,,,,,
不来方未晴,1999,4,,,2002,3,,深山中学校,,,,,,
不来方未晴,1999,10,,,,,,RESPONSE,両親殺害、弟を蘇生,,,,,
不来方未晴,2002,4,,,2005,3,,久木高校,,,,,,
不来方未晴,2005,4,,,2006,2,,警察学校,,,,,,
不来方未晴,2006,3,,,now,,,深山警察署,,,,,,
不来方未晴,2019,10,,,,,,CALLING,,,,,,
九条ミカゲ,1986,12,27,,,,,誕生,,,,,,
九条ミカゲ,1993,4,,,1999,3,,深山小学校,,,,,,
九条ミカゲ,1999,4,,,2002,3,,深山中学校,,,,,,
九条ミカゲ,2002,4,,,2005,3,,久木高校,,,,,,
九条ミカゲ,2005,4,,,2011,3,,久木大学,,,,,,
九条ミカゲ,2011,4,,,now,,,深山総合病院,,,,,,
九条ミカゲ,2019,7,,,now,,,軍司診療所研修,,,,,,
九条ミカゲ,2019,10,,,,,,CALLING,,,,,,
京極尚貴,1987,8,25,,,,,誕生,,,,,,
京極尚貴,1994,4,,,2000,3,,深山小学校,,,,,,
京極尚貴,2000,4,,,2003,3,,深山中学校,,,,,,
京極尚貴,2003,4,,,2006,3,,久木高校,,,,,,
京極尚貴,2006,4,,,2010,3,,帝都大学,,,,,,
京極尚貴,2010,4,,,now,,,深山小学校教諭,,,,,,
京極尚貴,2019,10,,,,,,CALLING,,,,,,
橘葉月,1992,11,11,,,,,誕生,,,,,,
橘葉月,1999,4,,,2005,3,,深山小学校,,,,,,
橘葉月,2005,4,,,2008,3,,深山中学校,,,,,,
橘葉月,2008,4,,,2011,3,,深山高校,,,,,,
橘葉月,2011,4,,,,,,失踪,,,,,,
橘葉月,2018,10,,,,,,ギフテッド・アイロニー,爽野により射殺,,,,,
橘三月,1997,5,5,,,,,誕生,,,,,,
橘三月,2004,4,,,2010,,,深山小学校,,,,,,
橘三月,2010,4,,,2013,3,,深山中学校,,,,,,
橘三月,2013,4,,,2016,,,深山高校,,,,,,
橘三月,2016,4,,,2018,10,,久木大学,2018.10消失,,,,,
橘三月,2018,10,,,,,,ギフテッド・アイロニー,橘葉月により殺害される,,,,,
旭野一馬,1992,7,18,,,,,誕生,,,,,,
旭野一馬,1999,4,,,2005,3,,深山小学校,,,,,,
旭野一馬,2005,4,,,2008,3,,深山中学校,,,,,,
旭野一馬,2008,4,,,2011,3,,深山高校,,,,,,
旭野一馬,2011,4,,,2015,3,,久木大学,,,,,,
旭野一馬,2015,4,,,2018,10,,高校の数学教諭,,,,,,
旭野一馬,2018,10,,,,,,ギフテッド・アイロニー,橘葉月により殺害される,,,,,
峰岸誠司,1983,4,12,,,,,誕生,,,,,,
峰岸誠司,1990,4,,,1996,3,,深山小学校,,,,,,
峰岸誠司,1996,4,,,1999,3,,深山中学校,,,,,,
峰岸誠司,1999,4,,,2002,3,,久木高校,,,,,,
峰岸誠司,2002,4,,,2006,3,,帝都大学,,,,,,
峰岸誠司,2006,4,,,2006,10,,警察大学校,,,,,,
峰岸誠司,2006,11,,,now,,,警視庁捜査一課配属,,,,,,
峰岸誠司,2019,10,,,,,,CALLING,,,,,,
森丘創,1982,11,4,,,,,誕生,,,,,,
森丘創,1989,4,,,1995,3,,久木小学校,,,,,,
森丘創,1995,4,,,1998,3,,久木中学校,,,,,,
森丘創,1998,4,,,2001,3,,久木高校,,,,,,
森丘創,2001,4,,,2002,2,,警察学校,,,,,,
森丘創,2002,2,,,now,,,警視庁配属,,,,,,
森丘創,2019,10,,,,,,CALLING,,,,,,
軍司直衛,2007,4,,,now,,,軍司診療所,,,,,,
