Group,Year,Month,Day,Time,End Year,End Month,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
シャーロック・ホームズ,1992,1,6,,,,,誕生,,,,,,
シャーロック・ホームズ,1998,4,,,2004,3,,深山小学校,,,,,,
シャーロック・ホームズ,2004,4,,,2007,3,,深山中学校,,,,,,
シャーロック・ホームズ,2007,4,,,2010,3,,深山高校,,,,,,
シャーロック・ホームズ,2010,4,,,2014,3,,久木大学,,,,,,
シャーロック・ホームズ,2018,10,,,,,,ギフテッド・アイロニー,,,,,,
シャーロック・ホームズ,2019,10,,,,,,CALLING,,,,,,
シャーロック・ホームズ,2014,4,,,2018,,,空白の４年,,,,,,
泉川 京,1991,5,21,,,,,誕生,,,,,,
泉川 京,1998,4,,,2004,3,,深山小学校,,,,,,
泉川 京,2004,4,,,2007,3,,深山中学校,,,,,,
泉川 京,2007,4,,,2010,3,,深山高校,,,,,,
泉川 京,2011,4,,,2015,3,,帝都大学（一浪）,,,,,,
泉川 京,2011,4,,,,,,深山市を離れる,,,,,,
泉川 京,2015,4,,,2019,,,〇〇に就職,,,,,,
泉川 京,2018,4,,,,,,深山市に戻る,,,,,,
泉川 京,2019,10,,,,,,CALLING（28歳）,,,,,,
ホームズ・泉川 共通,1998,4,,,2010,3,,腐れ縁（高校後の進路は別々）,,,,,,
橘三月,1997,5,5,,,,,誕生,,,,,,
橘三月,2004,4,,,2010,3,,深山小学校,,,,,,
橘三月,2010,4,,,2013,3,,深山中学校,,,,,,
橘三月,2013,4,,,2016,3,,深山高校,,,,,,
橘三月,2016,4,,,2018,10,,久木大学,2018.10　消失,,,,,
橘三月,2018,10,,,,,,ギフテッド・アイロニー,橘葉月により殺害される,,,,,
